Classifier,Preprocessing,Accuracy,Precision,Recall/TPR,FPR,FNR,TNR,F1-Score,ROC curve (area),Balanced Accuracy,Time Train
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 3, min_samples_leaf: 3, max_features: log2",Reshape,0.938122093153886,0.0931269059347877,0.9957598303932157,0.9068730940652123,0.0042401696067842715,0.0931269059347877,0.16121827411167514,0.7706047086140575,0.7706047086140575,0.4671459197998047
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9531759049138337,0.12185389809699201,0.9958269359474037,0.878146101903008,0.004173064052596354,0.12185389809699201,0.20255102040816325,0.7782069991350224,0.7782069991350224,1.374962329864502
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 1, max_features: log2",Reshape,0.9406011039461958,0.10318318318318319,0.9962858238282373,0.8968168168168168,0.003714176171762676,0.10318318318318319,0.17804953881231217,0.7961576106765681,0.7961576106765681,0.44391870498657227
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9587555515611776,0.12497758651604805,0.9950994184955918,0.8750224134839519,0.004900581504408179,0.12497758651604805,0.20199971018692944,0.7447602202992526,0.7447602202992527,1.3663477897644043
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 2, max_features: log2",Reshape,0.9525617693096966,0.11318715256331069,0.9953481050021646,0.8868128474366893,0.0046518949978354126,0.11318715256331069,0.18794871794871795,0.7550913184426967,0.7550913184426967,0.46086883544921875
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9539772769826469,0.11732020955707255,0.9954017386929933,0.8826797904429274,0.0045982613070066495,0.11732020955707255,0.19388692115964842,0.7580493283083629,0.758049328308363,1.4244587421417236
"DTreeClassifier: criterion: gini, max_depth: 3, min_samples_split: 5, min_samples_leaf: 3, max_features: log2",Reshape,0.9316811587690326,0.08538919608677159,0.9958023477847515,0.9146108039132285,0.004197652215248516,0.08538919608677159,0.14970171513795677,0.770716738730605,0.7707167387306051,0.44280028343200684
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9622681076384988,0.16933760683760685,0.9970837731128572,0.8306623931623932,0.002916226887142801,0.16933760683760685,0.27406340057636885,0.841494850779667,0.8414948507796669,1.9941766262054443
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 1, max_features: log2",Reshape,0.9622830865556729,0.15894891583976478,0.9964162743306866,0.8410510841602352,0.0035837256693134704,0.15894891583976478,0.2556902157848064,0.8093503459898617,0.8093503459898618,0.6011905670166016
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9677728596999723,0.19193381592554293,0.9969227421786364,0.8080661840744571,0.0030772578213636294,0.19193381592554293,0.3013476213671051,0.835675983615682,0.835675983615682,2.0386416912078857
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 2, max_features: log2",Reshape,0.9548760120130916,0.13370733987844788,0.9963337109768379,0.8662926601215521,0.003666289023162135,0.13370733987844788,0.22167678594496837,0.8029926875817279,0.8029926875817279,0.6106491088867188
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9612944780221838,0.16527342389411354,0.9970652454628695,0.8347265761058864,0.0029347545371305145,0.16527342389411354,0.2686102462496462,0.8402554378070793,0.8402554378070795,2.038449764251709
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 2, min_samples_leaf: 3, max_features: log2",Reshape,0.9519026969540372,0.12459499263622975,0.9962282314508684,0.8754050073637702,0.003771768549131625,0.12459499263622975,0.20852846931229974,0.7970048054026847,0.7970048054026848,0.5889406204223633
"DTreeClassifier: criterion: gini, max_depth: 5, min_samples_split: 3, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9645973292590678,0.17658239878350124,0.9969203181038515,0.8234176012164988,0.0030796818961484483,0.17658239878350124,0.2821564160971906,0.8344461776319498,0.8344461776319498,2.0193495750427246
